Advanced Transport Research,,,,,,,,,,,,,,,,,,,,Job Number & Name:,22296 Milton Road,,,,,,,,
Milton Road,,,,,,,,,,,,,,,,,,,,Client:,Cambridgeshire CC,,,,,,,,
Classified Counts,,,,,,,,,,,,,,,,,,,,Date:,Thursday 18 July 2019,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Movement A,,,,,,,,,Movement B,,,,,,,,,,,,,,,,,
Times,,,Cars,LGV,OGV1,OGV2,PSV,M/B,Cyc road,Cyc pavement,Ped,Cars,LGV,OGV1,OGV2,PSV,M/B,Cyc road,Cyc pavement,Ped,,,,,,,,,
07:00,-,07:15,42,14,4,2,3,1,5,5,2,120,37,6,4,7,4,11,5,2,,,,,,,,,
07:15,-,07:30,60,8,2,1,1,0,11,2,3,143,41,6,0,7,2,22,10,4,,,,,,,,,
07:30,-,07:45,64,15,6,1,4,1,10,2,9,135,41,7,2,3,3,30,6,12,,,,,,,,,
07:45,-,08:00,105,9,5,0,2,0,11,1,5,140,35,3,1,10,8,33,9,13,,,,,,,,,
08:00,-,08:15,99,11,3,0,3,2,16,1,9,107,17,7,1,9,2,46,11,28,,,,,,,,,
08:15,-,08:30,135,11,5,0,6,1,23,10,6,164,25,10,0,5,7,44,27,21,,,,,,,,,
08:30,-,08:45,121,14,4,2,2,1,37,8,11,139,19,4,5,13,5,47,69,34,,,,,,,,,
08:45,-,09:00,118,10,6,2,4,2,48,8,4,156,24,8,1,2,3,53,36,19,,,,,,,,,
09:00,-,09:15,130,19,5,2,6,2,35,9,7,146,19,8,0,6,1,36,7,20,,,,,,,,,
09:15,-,09:30,118,19,4,1,2,1,37,3,10,159,23,7,1,3,3,38,4,22,,,,,,,,,
09:30,-,09:45,127,19,2,0,6,3,18,4,7,148,22,7,1,6,7,31,2,16,,,,,,,,,
09:45,-,10:00,121,21,7,3,2,0,26,5,9,112,24,3,2,4,2,28,6,19,,,,,,,,,
10:00,-,10:15,133,26,5,1,6,2,8,3,9,106,23,2,1,5,2,11,2,13,,,,,,,,,
10:15,-,10:30,119,20,5,1,6,0,8,0,8,101,26,4,4,3,2,13,8,8,,,,,,,,,
10:30,-,10:45,114,19,8,2,4,1,8,2,12,137,27,1,0,4,2,14,1,11,,,,,,,,,
10:45,-,11:00,99,23,3,4,2,1,6,2,18,142,18,10,2,2,0,14,6,14,,,,,,,,,
11:00,-,11:15,97,26,3,2,3,0,3,1,11,113,19,3,2,6,1,12,3,20,,,,,,,,,
11:15,-,11:30,105,26,9,3,4,2,3,2,15,127,25,1,2,5,1,12,0,14,,,,,,,,,
11:30,-,11:45,102,31,11,1,6,1,2,2,13,139,24,5,1,2,3,7,2,13,,,,,,,,,
11:45,-,12:00,95,23,7,1,3,3,6,6,12,132,13,4,0,3,2,14,2,7,,,,,,,,,
12:00,-,12:15,130,30,5,1,4,3,4,6,7,142,21,6,2,7,1,7,7,15,,,,,,,,,
12:15,-,12:30,110,23,7,1,2,0,11,3,16,133,20,5,2,3,4,7,7,19,,,,,,,,,
12:30,-,12:45,130,20,7,2,5,2,3,3,10,126,17,8,0,2,4,10,5,13,,,,,,,,,
12:45,-,13:00,135,18,6,1,3,7,7,2,18,126,24,4,3,2,3,17,2,17,,,,,,,,,
13:00,-,13:15,126,25,4,2,2,1,9,6,7,125,22,4,1,6,2,7,5,23,,,,,,,,,
13:15,-,13:30,115,21,6,2,2,2,7,4,20,112,16,3,0,5,4,13,2,21,,,,,,,,,
13:30,-,13:45,111,16,9,1,5,1,8,3,16,103,16,3,2,3,2,6,4,11,,,,,,,,,
13:45,-,14:00,122,20,9,1,2,4,11,3,13,102,19,5,5,1,4,12,4,15,,,,,,,,,
14:00,-,14:15,145,24,2,2,3,5,7,4,17,104,16,3,2,5,0,5,8,14,,,,,,,,,
14:15,-,14:30,128,11,5,1,6,3,8,9,15,111,23,4,2,4,5,5,6,11,,,,,,,,,
14:30,-,14:45,137,27,6,1,6,5,8,9,14,138,17,5,3,7,3,15,3,16,,,,,,,,,
14:45,-,15:00,123,24,5,2,2,9,9,4,15,109,9,3,3,3,4,14,2,28,,,,,,,,,
15:00,-,15:15,121,29,4,2,3,1,16,11,20,136,6,4,1,6,6,18,9,22,,,,,,,,,
15:15,-,15:30,130,14,3,1,2,4,13,46,22,102,19,2,1,4,3,12,14,10,,,,,,,,,
15:30,-,15:45,144,35,3,1,4,3,24,38,32,128,18,6,1,2,2,11,11,6,,,,,,,,,
15:45,-,16:00,125,31,2,1,3,4,11,12,12,132,9,3,0,1,3,12,16,9,,,,,,,,,
16:00,-,16:15,124,31,4,3,4,4,18,15,24,117,12,1,0,6,2,6,10,10,,,,,,,,,
16:15,-,16:30,139,20,1,2,5,8,19,17,27,139,10,0,0,2,2,10,7,25,,,,,,,,,
16:30,-,16:45,143,23,2,2,5,2,19,13,17,137,8,0,3,3,3,15,5,13,,,,,,,,,
16:45,-,17:00,149,30,0,1,3,0,18,7,18,132,11,2,2,4,3,20,13,21,,,,,,,,,
17:00,-,17:15,175,13,4,0,5,4,32,18,19,135,14,1,0,2,6,43,8,17,,,,,,,,,
17:15,-,17:30,133,10,1,2,5,3,35,17,16,171,10,1,0,1,2,48,8,21,,,,,,,,,
17:30,-,17:45,157,14,1,0,5,7,35,14,17,169,11,0,0,6,5,37,7,22,,,,,,,,,
17:45,-,18:00,161,12,0,2,5,9,24,17,17,188,10,0,0,5,4,40,8,10,,,,,,,,,
18:00,-,18:15,166,6,0,1,4,8,33,11,20,174,3,1,1,4,2,49,6,19,,,,,,,,,
18:15,-,18:30,128,4,0,2,3,5,34,18,28,156,7,1,1,1,7,34,10,14,,,,,,,,,
18:30,-,18:45,163,11,1,0,8,4,34,11,33,162,8,0,0,2,4,22,10,18,,,,,,,,,
18:45,-,19:00,148,4,0,0,8,10,35,6,33,154,3,0,1,1,6,34,4,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
