{'13069': '0', '13070': '67', '13071': '133', '13072': '31', '13073': '166', '13074': '64', '13075': '318', '13076': '205', '13077': '195', '13078': '0', '13079': '330', '13080': '310', '13081': '249', '13082': '0', '13086': '333', '13345': '216', '13346': '112', '13347': '150', '13348': '238', '13350': '0', '13434': '175', '13435': '155', '13436': '171', '13437': '248', '13438': '35', '13444': '82', '13446': '106', '13454': '0', '13455': '0', '13456': '0', '13457': '0', '13458': '0', '13459': '0', '13460': '0', '13461': '0', '13462': '0', '13463': '1', '13464': '0', '13465': '0', '13466': '0', '13467': '0', '13470': '0', '13471': '0', '13472': '1', '13473': '0', '13478': '0'}
{'13069': '20200101', '13070': '20200101', '13071': '20200101', '13072': '20200101', '13073': '20200101', '13074': '20200101', '13075': '20200101', '13076': '20200101', '13077': '20200101', '13078': '20200101', '13079': '20200101', '13080': '20200101', '13081': '20200101', '13082': '20200101', '13086': '20200101', '13345': '20200101', '13346': '20200101', '13347': '20200101', '13348': '20200101', '13350': '20200101', '13434': '20200101', '13435': '20200101', '13436': '20200101', '13437': '20200101', '13438': '20200101', '13444': '20200101', '13446': '20200101', '13454': '20200101', '13455': '20200101', '13456': '20200101', '13457': '20200101', '13458': '20200101', '13459': '20200101', '13460': '20200101', '13461': '20200101', '13462': '20200101', '13463': '20200101', '13464': '20200101', '13465': '20200101', '13466': '20200101', '13467': '20200101', '13470': '20200101', '13471': '20200101', '13472': '20200101', '13473': '20200101', '13478': '20200101'}
,13069,13070,13071,13072,13073,13074,13075,13076,13077,13078,13079,13080,13081,13082,13086,13345,13346,13347,13348,13350,13434,13435,13436,13437,13438,13444,13446,13454,13455,13456,13457,13458,13459,13460,13461,13462,13463,13464,13465,13466,13467,13470,13471,13472,13473,13478
20200101,36,35,86,9,78,59,240,126,243,0,240,305,153,0,199,109,49,105,153,0,126,87,62,93,18,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200102,107,183,329,52,534,268,947,574,635,0,775,1068,667,0,724,487,232,425,591,0,449,375,377,378,94,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200103,120,211,343,85,577,257,1040,729,660,0,883,1022,683,0,773,631,248,428,527,0,429,354,413,334,128,115,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200104,64,116,200,25,315,145,531,374,443,0,431,686,364,0,486,285,143,320,340,0,307,185,254,230,73,74,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200105,57,74,173,12,156,100,394,256,379,0,395,404,222,0,306,158,94,155,242,0,227,162,184,174,33,46,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20200106,119,237,489,87,753,347,1273,827,840,0,1252,1297,897,0,980,797,394,596,804,0,670,502,571,481,145,168,199,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200107,153,291,469,97,640,0,1284,828,858,0,907,1379,882,0,976,713,336,680,825,0,582,457,659,415,158,181,186,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20200108,147,307,470,109,689,0,1240,976,839,0,844,1370,909,0,1018,628,312,645,837,0,457,509,600,365,135,99,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200109,141,255,503,104,686,0,1250,955,821,0,818,1249,871,0,1019,724,328,637,686,0,651,461,609,319,187,161,185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
